,TF,Term,wTF
0,1,nevertheless,0.05555555555555555
1,1,outputs,0.05555555555555555
2,1,module,0.05555555555555555
3,1,normalized,0.05555555555555555
4,1,term,0.05555555555555555
5,1,frequencies,0.05555555555555555
6,1,specificity,0.05555555555555555
7,1,scores,0.05555555555555555
8,1,associated,0.05555555555555555
9,1,respect,0.05555555555555555
10,1,reference,0.05555555555555555
11,1,background,0.05555555555555555
12,1,corpus,0.05555555555555555
13,1,used,0.05555555555555555
14,1,input,0.05555555555555555
15,1,matrix,0.05555555555555555
16,1,decomposition,0.05555555555555555
17,1,techniques,0.05555555555555555
