,Term,a-TF,a-wTF,b-TF,b-wTF,c-TF,c-wTF,d-TF,d-wTF
0,able,1.0,0.021739130434782608,1.0,0.030303030303030304,1.0,0.020833333333333332,,
1,advanced,1.0,0.021739130434782608,,,,,,
2,against,,,1.0,0.030303030303030304,,,,
3,analyses,1.0,0.021739130434782608,,,,,,
4,applied,1.0,0.021739130434782608,,,,,,
5,approaches,,,,,1.0,0.020833333333333332,,
6,around,1.0,0.021739130434782608,,,,,,
7,associated,,,,,,,1.0,0.05555555555555555
8,assumptions,,,,,1.0,0.020833333333333332,,
9,background,,,1.0,0.030303030303030304,,,1.0,0.05555555555555555
10,based,,,,,2.0,0.041666666666666664,,
11,cases,,,1.0,0.030303030303030304,2.0,0.041666666666666664,,
12,classify,,,,,1.0,0.020833333333333332,,
13,common,,,1.0,0.030303030303030304,,,,
14,community,,,1.0,0.030303030303030304,,,,
15,compare,,,1.0,0.030303030303030304,,,,
16,compared,1.0,0.021739130434782608,,,,,,
17,corpus,,,4.0,0.12121212121212122,,,1.0,0.05555555555555555
18,count,1.0,0.021739130434782608,,,,,,
19,culture,,,1.0,0.030303030303030304,,,,
20,customizable,1.0,0.021739130434782608,,,,,,
21,data,,,,,1.0,0.020833333333333332,,
22,decomposition,,,,,2.0,0.041666666666666664,1.0,0.05555555555555555
23,desired,1.0,0.021739130434782608,,,,,,
24,differentiate,,,,,1.0,0.020833333333333332,,
25,differentiates,,,1.0,0.030303030303030304,,,,
26,documents,,,,,1.0,0.020833333333333332,,
27,employment,,,,,1.0,0.020833333333333332,,
28,entirely,,,,,1.0,0.020833333333333332,,
29,example,,,1.0,0.030303030303030304,,,,
30,exploring,,,1.0,0.030303030303030304,,,,
31,extend,,,1.0,0.030303030303030304,,,,
32,foreground,,,1.0,0.030303030303030304,,,,
33,frequencies,,,,,,,1.0,0.05555555555555555
34,fulfills,,,,,1.0,0.020833333333333332,,
35,functionalities,1.0,0.021739130434782608,,,,,,
36,group,,,1.0,0.030303030303030304,,,,
37,input,,,,,,,1.0,0.05555555555555555
38,inspect,1.0,0.021739130434782608,,,,,,
39,instance,,,1.0,0.030303030303030304,1.0,0.020833333333333332,,
40,issues,,,,,1.0,0.020833333333333332,,
41,language,,,3.0,0.09090909090909091,,,,
42,large,,,,,1.0,0.020833333333333332,,
43,lda,,,,,1.0,0.020833333333333332,,
44,learning,1.0,0.021739130434782608,,,,,,
45,literals,1.0,0.021739130434782608,,,,,,
46,looking,,,1.0,0.030303030303030304,,,,
47,lsi,,,,,1.0,0.020833333333333332,,
48,machine,1.0,0.021739130434782608,,,,,,
49,matrix,,,,,1.0,0.020833333333333332,1.0,0.05555555555555555
50,merge,1.0,0.021739130434782608,,,,,,
51,methodologies,,,,,1.0,0.020833333333333332,,
52,module,1.0,0.021739130434782608,1.0,0.030303030303030304,1.0,0.020833333333333332,1.0,0.05555555555555555
53,movement,,,1.0,0.030303030303030304,,,,
54,nevertheless,,,,,,,1.0,0.05555555555555555
55,nmf,,,,,1.0,0.020833333333333332,,
56,normalized,,,,,,,1.0,0.05555555555555555
57,number,,,,,2.0,0.041666666666666664,,
58,objective,1.0,0.021739130434782608,1.0,0.030303030303030304,1.0,0.020833333333333332,,
59,option,,,,,1.0,0.020833333333333332,,
60,organize,1.0,0.021739130434782608,,,,,,
61,outputs,,,,,,,1.0,0.05555555555555555
62,package,,,,,1.0,0.020833333333333332,,
63,phase,1.0,0.021739130434782608,,,,,,
64,pipelined,1.0,0.021739130434782608,,,,,,
65,preprocessing,1.0,0.021739130434782608,,,,,,
66,prior,1.0,0.021739130434782608,,,,,,
67,provide,1.0,0.021739130434782608,,,,,,
68,provides,1.0,0.021739130434782608,,,,,,
69,prune,1.0,0.021739130434782608,,,,,,
70,pythons,,,,,1.0,0.020833333333333332,,
71,reference,,,1.0,0.030303030303030304,,,1.0,0.05555555555555555
72,remove,1.0,0.021739130434782608,,,,,,
73,represented,,,,,1.0,0.020833333333333332,,
74,respect,,,,,,,1.0,0.05555555555555555
75,score,,,1.0,0.030303030303030304,,,,
76,scores,,,,,,,1.0,0.05555555555555555
77,scoring,,,,,1.0,0.020833333333333332,,
78,sense,1.0,0.021739130434782608,,,,,,
79,set,1.0,0.021739130434782608,,,1.0,0.020833333333333332,,
80,skipped,,,,,1.0,0.020833333333333332,,
81,sklearn,,,,,1.0,0.020833333333333332,,
82,specific,1.0,0.021739130434782608,2.0,0.06060606060606061,,,,
83,specifically,,,,,1.0,0.020833333333333332,,
84,specificity,,,,,,,1.0,0.05555555555555555
85,standardized,1.0,0.021739130434782608,,,1.0,0.020833333333333332,,
86,statistical,1.0,0.021739130434782608,,,,,,
87,stem,1.0,0.021739130434782608,,,,,,
88,sub,,,1.0,0.030303030303030304,,,,
89,sufficient,,,,,1.0,0.020833333333333332,,
90,suggested,,,,,1.0,0.020833333333333332,,
91,techniques,1.0,0.021739130434782608,,,,,1.0,0.05555555555555555
92,term,,,,,,,1.0,0.05555555555555555
93,terms,3.0,0.06521739130434782,,,,,,
94,text,1.0,0.021739130434782608,,,,,,
95,texts,4.0,0.08695652173913043,,,,,,
96,theme,1.0,0.021739130434782608,,,,,,
97,themes,,,,,1.0,0.020833333333333332,,
98,tokenize,1.0,0.021739130434782608,,,,,,
99,tokenized,1.0,0.021739130434782608,,,,,,
100,tools,,,,,1.0,0.020833333333333332,,
101,topic,1.0,0.021739130434782608,,,1.0,0.020833333333333332,,
102,topics,,,,,2.0,0.041666666666666664,,
103,underlining,,,,,1.0,0.020833333333333332,,
104,unwanted,1.0,0.021739130434782608,,,,,,
105,use,,,2.0,0.06060606060606061,1.0,0.020833333333333332,,
106,used,,,,,,,1.0,0.05555555555555555
107,validates,,,,,1.0,0.020833333333333332,,
